Facility,Contact,initial_registration_date,most_recent_registration_date,last_fda_inspection_date,form_483_issued,fda_recall_conducted,post_inspection_action,intends_to_compound_sterile,pharmacy_legal_entity,pharmacy_entity_type,pharmacy_name,is_renamed,former_facility_name,license_city,license_state,license_contact_name,license_contact_phone,no_fda_inspections,post_inspection_action_date
"EMPOWER PHARMA, HOUSTON, TX",SHAUN NOORIAN877-562-8577,2016-07-16 00:00:00,12/6/2024,2024-08-28 00:00:00,TRUE,FALSE,OPEN,TRUE,EMPOWER PHARMA ,,EMPOWER PHARMA,FALSE,,HOUSTON,TX,SHAUN NOORIAN,877-562-8577,FALSE,
"EXCITE PHARMA SERVICES, LLC, TONGANOXIE, KS",KEITH KOEHLER 1-816-572-0151,2021-06-01 00:00:00,1/28/2025,,FALSE,FALSE,,TRUE,EXCITE PHARMA SERVICES LLC,LLC,EXCITE PHARMA SERVICES,FALSE,,TONGANOXIE,KS,KEITH KOEHLER ,1-816-572-0151,TRUE,
"F.H. INVESTMENTS, INC., DBA ASTERIA HEALTH, BIRMINGHAM, AL",CHRISTOPHER S. MUSSER1-205-995-0505 ,2017-05-18 00:00:00,10/17/2024,2024-11-08 00:00:00,TRUE,FALSE,OPEN,TRUE,F.H. INVESTMENTS INC,INC,ASTERIA HEALTH,FALSE,,BIRMINGHAM,AL,CHRISTOPHER S. MUSSER,1-205-995-0505 ,FALSE,
"FAGRON COMPOUNDING SERVICES, DBA FAGRON STERILE SERVICES, WICHITA, KS",JOSH PARKS316-773-0405,2015-10-02 00:00:00,10/18/2024,2024-06-28 00:00:00,TRUE,FALSE,WARNING LETTER ISSUED,TRUE,FAGRON COMPOUNDING SERVICES ,,FAGRON STERILE SERVICES,FALSE,,WICHITA,KS,JOSH PARKS,316-773-0405,FALSE,2024-12-19 00:00:00
"FARMAKEIO OUTSOURCING, LLC, SOUTHLAKE, TX",CODY BOATMAN817-203-8216,2018-12-12 00:00:00,12/6/2024,2022-06-10 00:00:00,TRUE,FALSE,REGULATORY MEETING HELD,TRUE,FARMAKEIO OUTSOURCING LLC,LLC,FARMAKEIO OUTSOURCING,FALSE,,SOUTHLAKE,TX,CODY BOATMAN,817-203-8216,FALSE,2023-01-31 00:00:00
"FRESENIUS KABI COMPOUNDING, LLC, DBA FAGRON STERILE SERVICES, CANTON, MA",DEBORAH MCHUGH316-773-0405,2017-04-21 00:00:00,10/18/2024,2023-03-06 00:00:00,TRUE,FALSE,FMD-145 Letter Issued,FALSE,FRESENIUS KABI COMPOUNDING LLC,LLC,FAGRON STERILE SERVICES,FALSE,,CANTON,MA,DEBORAH MCHUGH,316-773-0405,FALSE,2023-08-11 00:00:00
"GENOGENIX, LLC, BOCA RATON, FL",HORACE SMITH 1-561-264-7303,2025-02-04 00:00:00,2/4/2025,,FALSE,FALSE,,TRUE,GENOGENIX LLC,LLC,GENOGENIX,FALSE,,BOCA RATON,FL,HORACE SMITH ,1-561-264-7303,TRUE,
"GFC PHARMA, LLC, WESTMINSTER, MD",RANJEESH GOPINATHAN215-264-9995,2024-12-16 00:00:00,12/16/2024,,FALSE,FALSE,,TRUE,GFC PHARMA LLC,LLC,GFC PHARMA,FALSE,,WESTMINSTER,MD,RANJEESH GOPINATHAN,215-264-9995,TRUE,
"HIKMA INJECTABLES USA, INC., DAYTON, NJ",J. BARTON KALIS856-489-2247,2021-09-15 00:00:00,12/20/2024,2024-06-25 00:00:00,TRUE,FALSE,REGULATORY MEETING HELD,FALSE,HIKMA INJECTABLES USA INC,INC,HIKMA INJECTABLES USA,FALSE,,DAYTON,NJ,J. BARTON KALIS,856-489-2247,FALSE,2024-12-10 00:00:00
"HIKMA PHARMACEUTICALS USA, INC., CHERRY HILL, NJ",J. BARTON KALIS 1-856-489-2247,2021-09-15 00:00:00,12/20/2024,2024-06-12 00:00:00,TRUE,FALSE,FMD-145 Letter Issued,TRUE,HIKMA PHARMACEUTICALS USA INC,INC,HIKMA PHARMACEUTICALS USA,FALSE,,CHERRY HILL,NJ,J. BARTON KALIS ,1-856-489-2247,FALSE,2024-12-18 00:00:00
"HYBRID PHARMA, LLC, DEERFIELD BEACH, FL",PONSWAMY RAJALINGAM954-708-2771,2015-01-14 00:00:00,1/8/2025,2023-11-09 00:00:00,TRUE,FALSE,OPEN,TRUE,HYBRID PHARMA LLC,LLC,HYBRID PHARMA,FALSE,,DEERFIELD BEACH,FL,PONSWAMY RAJALINGAM,954-708-2771,FALSE,
"IMPRIMIS NJOF, LLC, LEDGEWOOD, NJ",FRED WEISS973-328-8756EXT=5411,2016-11-12 00:00:00,10/23/2024,2024-04-03 00:00:00,TRUE,FALSE,OPEN,TRUE,IMPRIMIS NJOF LLC,LLC,IMPRIMIS NJOF,FALSE,,LEDGEWOOD,NJ,FRED WEISS,973-328-8756EXT=5411,FALSE,
"INTEGRADOSE COMPOUNDING SERVICES, LLC, MINNEAPOLIS, MN",CRAIG ELSE612-672-5216,2018-05-08 00:00:00,12/13/2024,2024-03-01 00:00:00,TRUE,FALSE,REGULATORY MEETING HELD,FALSE,INTEGRADOSE COMPOUNDING SERVICES LLC,LLC,INTEGRADOSE COMPOUNDING SERVICES,FALSE,,MINNEAPOLIS,MN,CRAIG ELSE,612-672-5216,FALSE,2024-09-05 00:00:00
"LEESAR, INC., FORT MYERS, FL",MARIA GAUTIER239-939-8925,2014-04-30 00:00:00,12/19/2024,2021-10-29 00:00:00,TRUE,FALSE,UNTITLED LETTER ISSUED,FALSE,LEESAR INC,INC,LEESAR,FALSE,,FORT MYERS,FL,MARIA GAUTIER,239-939-8925,FALSE,2022-06-17 00:00:00
"MARK CUBAN COST PLUS MANUFACTURING AND COMPOUNDING, LLC, DALLAS, TX",ALEXANDER OSHMYANSKY303-907-8003,2022-11-02 00:00:00,12/14/2024,2024-09-06 00:00:00,TRUE,FALSE,OPEN,TRUE,MARK CUBAN COST PLUS MANUFACTURING AND COMPOUNDING LLC,LLC,MARK CUBAN COST PLUS MANUFACTURING AND COMPOUNDING,FALSE,,DALLAS,TX,ALEXANDER OSHMYANSKY,303-907-8003,FALSE,
"MCGUFF PHARMACEUTICALS, INC., DBA MCGUFF OUTSOURCING SOLUTIONS, SANTA ANA, CA",JACQUELINE MCKAY714-918-7277EXT 314,2023-01-11 00:00:00,11/21/2024,,FALSE,FALSE,,TRUE,MCGUFF PHARMACEUTICALS INC,INC,MCGUFF OUTSOURCING SOLUTIONS,FALSE,,SANTA ANA,CA,JACQUELINE MCKAY,714-918-7277EXT 314,TRUE,
"MEDI-FARE DRUG, BLACKSBURG, SC",ANNE-MARIE DAVIS864-839-6500,2013-12-17 00:00:00,12/24/2024,2023-05-26 00:00:00,TRUE,FALSE,FMD-145 Letter Issued,TRUE,MEDI-FARE DRUG ,,MEDI-FARE DRUG,FALSE,,BLACKSBURG,SC,ANNE-MARIE DAVIS,864-839-6500,FALSE,2023-10-23 00:00:00
"MEDISOURCERX, LOS ALAMITOS, CA",VENUS FIROUZEHEE714-455-1300,2017-02-14 00:00:00,12/31/2024,2022-11-10 00:00:00,FALSE,FALSE,FMD-145 Letter Issued,TRUE,MEDISOURCERX ,,MEDISOURCERX,FALSE,,LOS ALAMITOS,CA,VENUS FIROUZEHEE,714-455-1300,FALSE,2023-04-14 00:00:00
"MOLECULAR PHARMAGROUP, NEW PROVIDENCE, NJ",AMANDA LANZE908-588-3440,2018-05-08 00:00:00,12/10/2024,2023-12-11 00:00:00,TRUE,FALSE,FMD-145 Letter Issued,TRUE,MOLECULAR PHARMAGROUP ,,MOLECULAR PHARMAGROUP,FALSE,,NEW PROVIDENCE,NJ,AMANDA LANZE,908-588-3440,FALSE,2024-03-18 00:00:00
"NEPHRON STERILE COMPOUNDING CENTER, LLC (NSCC), WEST COLUMBIA, SC",LOU WOOD KENNEDY803-569-3110,2014-07-15 00:00:00,11/25/2024,2024-09-25 00:00:00,TRUE,TRUE,OPEN,TRUE,NEPHRON STERILE COMPOUNDING CENTER LLC,LLC,NEPHRON STERILE COMPOUNDING CENTER,FALSE,,WEST COLUMBIA,SC,LOU WOOD KENNEDY,803-569-3110,FALSE,
"NUBRATORI, INC., TORRANCE, CA",GULSHAKAR KHWAJA310-218-4153,2017-02-24 00:00:00,10/22/2024,2024-07-26 00:00:00,TRUE,FALSE,WARNING LETTER ISSUED,TRUE,NUBRATORI INC,INC,NUBRATORI,FALSE,,TORRANCE,CA,GULSHAKAR KHWAJA,310-218-4153,FALSE,2025-01-22 00:00:00
"OLYMPIA PHARMACEUTICALS, ORLANDO, FL",MARK MIKHAEL  1-407-673-2222 ,2014-03-10 00:00:00,10/18/2024,2024-05-29 00:00:00,1,0,OPEN,1,OLYMPIA PHARMACEUTICALS ,,OLYMPIA PHARMACEUTICALS,0,,ORLANDO,FL,MARK MIKHAEL  ,1-407-673-2222 ,0,
"OSRX, INC., MISSOULA, MT",AMY FROST406-541-6121,2023-10-28 00:00:00,10/25/2024,2024-10-25 00:00:00,1,0,OPEN,1,OSRX INC,INC,OSRX,0,,MISSOULA,MT,AMY FROST,406-541-6121,0,
"OURPHARMA, LLC, FAYETTEVILLE, AR",MORGAN STRICKLAND479-313-8200,2019-03-15 00:00:00,11/14/2024,2024-09-27 00:00:00,1,0,OPEN,1,OURPHARMA LLC,LLC,OURPHARMA,0,,FAYETTEVILLE,AR,MORGAN STRICKLAND,479-313-8200,0,
"PARK AVENUE COMPOUNDING, ST. LOUIS, MO",KRISTINA BRYOWSKY314-989-2843,2023-12-23 00:00:00,11/8/2024,,0,0,,0,PARK AVENUE COMPOUNDING ,,PARK AVENUE COMPOUNDING,0,,ST. LOUIS,MO,KRISTINA BRYOWSKY,314-989-2843,1,
"PGRRX, LLC, EXTON, PA ",AMIT GUPTA 1-484-883-7597,2024-12-10 00:00:00,12/10/2024,,0,0,,1,PGRRX LLC,LLC,PGRRX,0,,EXTON,PA,AMIT GUPTA ,1-484-883-7597,1,
"PINE PHARMACEUTICALS, LLC, TONAWANDA, NY",ALFONSE MUTO716-248-1025,2018-03-09 00:00:00,10/16/2024,2024-09-30 00:00:00,1,0,OPEN,1,PINE PHARMACEUTICALS LLC,LLC,PINE PHARMACEUTICALS,0,,TONAWANDA,NY,ALFONSE MUTO,716-248-1025,0,
"PQ PHARMACY, LLC, BROOKSVILLE, FL",ANGELA KASSAY352-477-8977,2020-10-29 00:00:00,11/26/2024,2022-10-27 00:00:00,1,0,FMD-145 Letter Issued,1,PQ PHARMACY LLC,LLC,PQ PHARMACY,0,,BROOKSVILLE,FL,ANGELA KASSAY,352-477-8977,0,2023-03-30 00:00:00
"PRORX, LLC, EXTON, PA",MARK L'HOMMEDIEU1-904-616-7355,2022-04-27 00:00:00,11/22/2024,2024-08-02 00:00:00,1,0,WARNING LETTER ISSUED,1,PRORX LLC,LLC,PRORX,0,,EXTON,PA,MARK L'HOMMEDIEU,1-904-616-7355,0,2024-12-20 00:00:00
"QUALGEN, LLC, EDMOND, OK",SHAUN RINEY405-551-8216,2014-05-23 00:00:00,11/15/2024,2024-03-19 00:00:00,1,0,OPEN,1,QUALGEN LLC,LLC,QUALGEN,0,,EDMOND,OK,SHAUN RINEY,405-551-8216,0,
"QUANTUM PHARMACEUTICALS, LLC, MOUNDS, OK",ALBERT SANCHEZ 479-263-2690; EXT=3062138,2024-05-30 00:00:00,2/15/2025,,0,0,,1,QUANTUM PHARMACEUTICALS LLC,LLC,QUANTUM PHARMACEUTICALS,0,,MOUNDS,OK,ALBERT SANCHEZ ,479-263-2690; EXT=3062138,1,
"QUVA PHARMA, INC., BLOOMSBURY, NJ",KEVIN WHITE1-908-388-1079,2017-09-15 00:00:00,11/22/2024,2022-10-14 00:00:00,1,0,WARNING LETTER ISSUED,1,QUVA PHARMA INC,INC,QUVA PHARMA,0,,BLOOMSBURY,NJ,KEVIN WHITE,1-908-388-1079,0,2024-01-26 00:00:00
"QUVA PHARMA, INC., SUGAR LAND, TX",SOPHIA FLORES1-832-500-7450,2015-09-10 00:00:00,12/92024,2024-10-28 00:00:00,1,0,OPEN,1,QUVA PHARMA INC,INC,QUVA PHARMA,0,,SUGAR LAND,TX,SOPHIA FLORES,1-832-500-7450,0,
"RAPHA PHRMACEUTICALS, LNC., TAMPA, FL",HECTOR MOLINA 1-407-362-7638,2024-12-23 00:00:00,12/23/2024,,0,0,,1,RAPHA PHRMACEUTICALS ,,RAPHA PHRMACEUTICALS,0,,TAMPA,FL,HECTOR MOLINA ,1-407-362-7638,1,
"RC OUTSOURCING, LLC, LOWELLVILLE, OH",MICHAEL BASISTA330-536-8500,2015-10-06 00:00:00,11/22/2024,2024-09-27 00:00:00,1,0,OPEN,1,RC OUTSOURCING LLC,LLC,RC OUTSOURCING,0,,LOWELLVILLE,OH,MICHAEL BASISTA,330-536-8500,0,
"RIGHT VALUE DRUG STORES, LLC, DBA CARIE BOYD'S PRESCRIPTION SHOP, IRVING, TX",SARA LANGE817-282-9376,2019-07-03 00:00:00,12/23/2024,2024-06-21 00:00:00,1,0,WARNING LETTER ISSUED,1,RIGHT VALUE DRUG STORES LLC,LLC,CARIE BOYD'S PRESCRIPTION SHOP,0,,IRVING,TX,SARA LANGE,817-282-9376,0,2024-12-17 00:00:00
"SCA PHARMACEUTICALS, LITTLE ROCK, AR",JOANNA DISTEFANO 1-877-550-5059 ,2013-12-13 00:00:00,12/23/2024,2023-05-17 00:00:00,1,0,FMD-145 Letter Issued,1,SCA PHARMACEUTICALS ,,SCA PHARMACEUTICALS,0,,LITTLE ROCK,AR,JOANNA DISTEFANO ,1-877-550-5059 ,0,2023-09-29 00:00:00
"SCA PHARMACEUTICALS, WINDSOR, CT",JOANNA DISTEFANO877-550-5059,2017-08-03 00:00:00,12/9/2024,2024-12-20 00:00:00,1,0,OPEN,1,SCA PHARMACEUTICALS ,,SCA PHARMACEUTICALS,0,,WINDSOR,CT,JOANNA DISTEFANO,877-550-5059,0,
"SIGNATURE RX, DELRAY BEACH, FL",DAVID HUGHES401-249-1963,2023-10-13 00:00:00,1/9/2025,,0,0,,1,SIGNATURE RX ,,SIGNATURE RX,0,,DELRAY BEACH,FL,DAVID HUGHES,401-249-1963,1,
"SKNV FORMERLY REGISTERED AS SINCERUS FLORIDA, LLC, POMPANO BEACH, FL",MICHAEL MORELLI800-604-5032EXT 313,2016-03-10 00:00:00,11/22/2024,2024-05-23 00:00:00,1,0,OPEN,1,SKNV FORMERLY REGISTERED AS SINCERUS FLORIDA LLC,LLC,SKNV FORMERLY REGISTERED AS SINCERUS FLORIDA,1,"SINCERUS FLORIDA, LLC",POMPANO BEACH,FL,MICHAEL MORELLI,800-604-5032EXT 313,0,
"STAQ PHARMA OF OHIO, LLC, COLUMBUS, OH",PATRICK WELSH1-440-384-0676,2023-01-26 00:00:00,11/19/2024,2023-10-04 00:00:00,1,0,FMD-145 Letter Issued,1,STAQ PHARMA OF OHIO LLC,LLC,STAQ PHARMA OF OHIO,0,,COLUMBUS,OH,PATRICK WELSH,1-440-384-0676,0,2024-03-20 00:00:00
"STAQ PHARMA, INC., DENVER, CO",MARK SPIECKER1-303-921-5789,2019-02-05 00:00:00,11/19/2024,2021-09-29 00:00:00,1,0,FMD-145 Letter Issued,1,STAQ PHARMA INC,INC,STAQ PHARMA,0,,DENVER,CO,MARK SPIECKER,1-303-921-5789,0,2022-03-25 00:00:00
"STASKA PHARMACEUTICALS, INC., BENNET, NE",LYNDON LEITNER402-782-2207,2020-12-03 00:00:00,12/18/2024,2024-09-18 00:00:00,1,0,OPEN,1,STASKA PHARMACEUTICALS INC,INC,STASKA PHARMACEUTICALS,0,,BENNET,NE,LYNDON LEITNER,402-782-2207,0,
"STOKES HEALTHCARE, INC., DBA EPICUR PHARMA, MT. LAUREL, NJ",MICHAEL TURSI888-508-5032,2018-01-30 00:00:00,10/16/2024,2023-10-25 00:00:00,1,0,WARNING LETTER ISSUED,1,STOKES HEALTHCARE INC,INC,EPICUR PHARMA,0,,MT. LAUREL,NJ,MICHAEL TURSI,888-508-5032,0,2024-04-02 00:00:00
"TAILSTORM HEALTH, INC., CHANDLER, AZ",MITEXH GANDHI480-274-8617,2019-10-23 00:00:00,12/10/2024,2021-07-21 00:00:00,1,0,FMD-145 Letter Issued,1,TAILSTORM HEALTH INC,INC,TAILSTORM HEALTH,0,,CHANDLER,AZ,MITEXH GANDHI,480-274-8617,0,2023-10-23 00:00:00
"TAILSTORM HEALTH, INC., PHOENIX, AZ",MITEXH GANDHI480-274-8617,2019-10-23 00:00:00,12/18/2024,2024-10-10 00:00:00,1,0,OPEN,1,TAILSTORM HEALTH INC,INC,TAILSTORM HEALTH,0,,PHOENIX,AZ,MITEXH GANDHI,480-274-8617,0,
"TOMORROWMED PHARMA, LLC, MORRISVILLE, NC",SEAN HATFIELD1-919-747-3222,2024-11-22 00:00:00,11/22/2024,,0,0,,1,TOMORROWMED PHARMA LLC,LLC,TOMORROWMED PHARMA,0,,MORRISVILLE,NC,SEAN HATFIELD,1-919-747-3222,1,
"TURBARE MANUFACTURING, CONWAY, AR",DEKETRIC SMITH501-504-6635,2023-06-23 00:00:00,1/25/2025,,1,0,OPEN,1,TURBARE MANUFACTURING ,,TURBARE MANUFACTURING,0,,CONWAY,AR,DEKETRIC SMITH,501-504-6635,1,
"UNIVERSITY OF TENNESSEE, MEMPHIS, TN",HARRY KOCHAT901-448-1440,2024-05-19 00:00:00,12/12/2024,,0,0,,1,UNIVERSITY OF TENNESSEE ,,UNIVERSITY OF TENNESSEE,0,,MEMPHIS,TN,HARRY KOCHAT,901-448-1440,1,
"US SPECIALTY FORMULATIONS, LLC, ALLENTOWN, PA",KYLE FLANIGAN610-849-5023,2014-01-31 00:00:00,11/14/2024,2024-06-28 00:00:00,1,0,OPEN,1,US SPECIALTY FORMULATIONS LLC,LLC,US SPECIALTY FORMULATIONS,0,,ALLENTOWN,PA,KYLE FLANIGAN,610-849-5023,0,
"VITAE ENIM VITAE SCIENTIFIC, INC., SAN DIEGO, CA",BORIS GITES858-222-0746,2024-01-02 00:00:00,1/21/2025,,0,0,,0,VITAE ENIM VITAE SCIENTIFIC INC,INC,VITAE ENIM VITAE SCIENTIFIC,0,,SAN DIEGO,CA,BORIS GITES,858-222-0746,1,
